CÓDIGO CCB;LOCALIDADE;SETOR ADMINISTRATIVO;SETOR GEOGRAFICO;COLABORADORES  IDEAL ;COLABORADORES ATUAL;2002;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
22-5247;Jd. Nova Esperança - Banhado;SETOR 1 / SJC;CENTRO;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1
22-5391;Pinheirinho - Urbanova;SETOR 1 / SJC;CENTRO;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1
22-1297;Vila Maria;SETOR 1 / SJC;CENTRO;4;2;2;1;1;0;0;0;0;0;1;1;1;1;2
22-4953;Vila Maria - Anexo Adm;SETOR 1 / SJC;CENTRO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-2092;Jd. Valparaíba;SETOR 2 / SJC;LESTE;2;2;0;0;0;0;0;0;0;0;1;1;2;2;2
22-1301;Vila Industrial (Sede);SETOR 2 / SJC;LESTE;2;3;0;1;1;1;1;1;2;3;3;3;3;3;3
22-1302;Jd. da Granja;SETOR 2 / SJC;SUDESTE;2;1;0;0;0;0;0;0;0;0;0;0;1;1;1
22-1974;Jd. Santa Fé;SETOR 2 / SJC;SUDESTE;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-4768;Jd. Santa Fé - Almoxarifado;SETOR 2 / SJC;SUDESTE;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0
22-4769;Jd. Santa Fé - Serralheria Alum.;SETOR 2 / SJC;SUDESTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-3015;Jd. São Judas;SETOR 2 / SJC;SUDESTE;2;4;0;0;0;0;0;0;0;0;0;1;1;3;4
22-2212;Jd. Uirá;SETOR 2 / SJC;SUDESTE;2;2;0;1;1;1;1;0;0;0;1;1;1;2;2
22-5002;Pinheirinho dos Palmares;SETOR 2 / SJC;SUDESTE;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1
22-4610;Recanto dos Eucaliptos;SETOR 2 / SJC;SUDESTE;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2
22-4783;Santa Luzia;SETOR 2 / SJC;SUDESTE;2;2;0;0;0;0;0;0;0;0;0;0;1;2;2
22-2910;Vila Corinthians;SETOR 1 / SJC;CENTRO;2;2;0;0;0;0;0;0;1;1;0;0;0;2;2
